"filename", "language", "HTML", "JavaScript JSX", "JavaScript", "CSS", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 7, 0, 5, 12
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3914, 0, 0, 1, 3915
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\package.json", "JSON", 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\App.css", "CSS", 0, 0, 0, 37, 0, 0, 0, 0, 7, 44
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\App.jsx", "JavaScript JSX", 0, 130, 0, 0, 0, 0, 0, 0, 6, 136
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\AddComment.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 11, 59
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\AddEntry.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 0, 0, 0, 5, 69
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\AddProject.jsx", "JavaScript JSX", 0, 81, 0, 0, 0, 0, 0, 0, 9, 90
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\ChatsList.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 9, 57
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\CommentList.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\CreateChat.jsx", "JavaScript JSX", 0, 100, 0, 0, 0, 0, 0, 2, 19, 121
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\CreateTeam.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 0, 2, 13, 82
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\IncomeOverview.jsx", "JavaScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\Layout.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\ProfitChart.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 0, 0, 2, 6, 72
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\ProjectDetails.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\ProjectList.jsx", "JavaScript JSX", 0, 84, 0, 0, 0, 0, 0, 0, 12, 96
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\components\RecentComments.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 8, 60
